City,Country,Date,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Santa Maria,BR,1541289600,-29.69,-53.81,64.4,100,20,4.7
Bambous Virieux,MU,1541289600,-20.34,57.76,71.6,83,40,5.82
sorvag,,,,,,,,
Aklavik,CA,1541289600,68.22,-135.01,5,77,20,4.54
Porto Torres,IT,1541289000,40.84,8.4,62.6,72,0,11.41
Raudeberg,NO,1541290800,61.99,5.14,51.8,81,92,26.4
Tonantins,BR,1541291783,-2.86,-67.77,80.61,87,20,2.48
Voh,NC,1541291784,-20.95,164.69,78.45,81,0,7.07
Aksarka,RU,1541291785,66.56,67.8,13.47,76,56,5.77
Cayenne,GF,1541289600,4.94,-52.33,78.8,83,0,1.12
Dunmore Town,BS,1541291788,25.5,-76.65,82.28,99,92,9.31
Puerto Escondido,MX,1541288400,15.86,-97.07,86,66,75,5.82
Barrow,AR,1541291790,-38.31,-60.23,59.06,63,0,5.55
Ilulissat,GL,1541289000,69.22,-51.1,17.6,72,80,18.34
samusu,,,,,,,,
Klaksvik,FO,1541290800,62.23,-6.59,48.2,87,92,23.04
Solnechnyy,RU,1541291795,50.72,136.64,22.47,59,32,4.88
Tam Ky,VN,1541287800,15.57,108.48,77,78,40,1.12
Avarua,CK,1541289600,-21.21,-159.78,77,69,75,13.87
Bhandara,IN,1541289600,21.16,79.65,69.8,88,8,2.82
Noyabrsk,RU,1541291800,63.2,75.45,22.34,95,88,5.5
Moelv,NO,1541291801,60.93,10.7,34.31,95,92,3.38
Kutum,SD,1541291802,14.2,24.66,60.09,36,0,7.78
louisbourg,,,,,,,,
Norman Wells,CA,1541289600,65.28,-126.83,6.8,84,20,8.05
Port Lincoln,AU,1541291718,-34.72,135.86,64.14,84,64,4.54
Poum,MK,1541291807,41.28,20.71,39.71,86,20,1.81
Yumen,CN,1541291808,40.29,97.04,17.61,70,32,2.75
Mar del Plata,AR,1541291810,-46.43,-67.52,60.09,50,0,18.63
Morondava,MG,1541291811,-20.3,44.28,72.83,85,0,7.78
Qaqortoq,GL,1541289000,60.72,-46.03,23,41,0,4.7
Matara,PE,1541291814,-13.74,-72.9,44.39,98,80,2.26
Karasburg,NA,1541291815,-28.01,18.75,59.1,51,0,10.36
Hobart,AU,1541289600,-42.88,147.33,57.2,54,75,10.29
Camacha,PT,1541289600,33.08,-16.33,66.2,77,75,10.29
Isangel,VU,1541291818,-19.55,169.27,75.66,100,76,17.58
Oksovskiy,RU,1541291820,62.61,39.91,41.78,97,92,6.22
The Pas,CA,1541289600,53.82,-101.24,28.4,79,90,14.99
Teguldet,RU,1541291822,57.31,88.17,15.63,64,80,7.56
Qazvin,IR,1541286000,36.28,50.01,41,80,0,2.24
Popondetta,PG,1541291825,-8.77,148.24,82.86,57,0,2.37
Port Macquarie,AU,1541289600,-31.43,152.91,73.4,78,75,11.41
Margate,AU,1541289600,-43.03,147.26,57.2,54,75,10.29
Mastic Beach,US,1541290500,40.77,-72.85,51.98,47,1,9.17
Tairua,NZ,1541291831,-37.02,175.85,65.54,60,48,10.58
Killam,CA,1541291832,52.79,-111.86,29.76,92,0,6.29
Victoria,BN,1541289600,5.28,115.24,82.4,88,75,2.24
Ancud,CL,1541291791,-41.87,-73.83,53.43,97,92,20.6
Pandan,PH,1541291835,11.72,122.09,83.49,100,64,17.85
Cidreira,BR,1541291837,-30.17,-50.22,65.22,97,100,9.86
Merauke,ID,1541291838,-8.49,140.4,88.58,69,12,11.81
Doha,QA,1541289600,25.29,51.53,80.6,61,0,6.93
Kalmunai,LK,1541291840,7.42,81.82,70.8,100,64,3.31
Trofors,NO,1541289000,65.54,13.39,44.6,75,92,8.05
Hilo,US,1541289360,19.71,-155.08,82.04,69,40,11.41
Riyadh,SA,1541289600,24.63,46.72,71.6,68,75,6.93
Severo-Kurilsk,RU,1541291845,50.68,156.12,43.94,93,68,7.78
Atuona,PF,1541290484,-9.8,-139.03,80.39,100,0,12.59
Elk City,US,1541291700,35.41,-99.4,60.98,50,1,10.29
Ponta do Sol,BR,1541291631,-20.63,-46,65.85,93,68,2.86
Watsa,CD,1541291849,3.04,29.53,63.11,96,76,3.2
Saint-Philippe,CA,1541289600,45.36,-73.48,39.56,91,75,27.51
Ashqelon,IL,1541289000,31.67,34.57,60.8,55,0,2.24
Durango,US,1541289180,37.28,-107.88,53.06,27,1,10.29
Praia,BR,1541289600,-20.25,-43.81,77,50,0,3.36
Khatanga,RU,1541291811,71.98,102.47,4.83,85,76,12.82
Moose Factory,CA,1541289600,51.26,-80.61,28.4,86,75,5.82
Colares,PT,1541289600,38.8,-9.45,57.2,87,75,4.7
Coquimbo,CL,1541289600,-29.95,-71.34,55.4,87,0,5.82
Tasiilaq,GL,1541289000,65.61,-37.64,19.4,52,56,4.7
asau,,,,,,,,
Grindavik,IS,1541289600,63.84,-22.43,33.8,74,20,21.92
Harper,US,1541290500,30.3,-99.24,69.98,66,1,5.82
Zhezkazgan,KZ,1541291865,47.8,67.71,26.61,100,68,3.2
Conceicao do Araguaia,BR,1541291866,-8.26,-49.26,78.36,89,44,2.98
Atar,MR,1541291867,20.52,-13.05,58.56,67,24,4.05
Richards Bay,ZA,1541291868,-28.77,32.06,62.39,81,0,13.15
Baruun-Urt,MN,1541291794,46.68,113.28,7.13,70,0,7.34
Xuddur,SO,1541291871,4.12,43.89,77.78,55,68,6.73
Caxito,BR,1541291872,-22.65,-42.51,79.53,69,44,4.88
Kununurra,AU,1541289600,-15.77,128.74,86,66,32,5.82
Buraydah,SA,1541289600,26.33,43.97,60.8,100,40,8.05
falealupo,,,,,,,,
yuzhno-yeniseyskiy,,,,,,,,
Sauca,MD,1541291878,48.37,27.73,47.81,88,44,7.34
Carutapera,BR,1541291879,-1.2,-46.02,81.74,79,56,9.35
Arraial do Cabo,BR,1541291828,-22.97,-42.02,77.19,83,12,20.04
Carnarvon,ZA,1541291706,-30.97,22.13,69.9,39,56,11.81
Goderich,CA,1541291882,43.74,-81.71,41.19,86,92,12.59
Tuatapere,NZ,1541291832,-46.13,167.69,48.84,100,80,26.87
Alenquer,BR,1541289600,-1.95,-54.74,80.6,88,20,0.85
Bonthe,SL,1541291886,7.53,-12.5,77.64,98,44,2.53
Totness,US,1541290500,33.74,-80.8,51.98,93,1,4.76
Dera Bugti,PK,1541291888,29.03,69.15,55.77,55,0,5.21
Honningsvag,NO,1541291889,70.98,25.97,38.99,100,48,10.02
Mayor Pablo Lagerenza,PY,1541291891,-19.93,-60.77,86.64,59,88,11.36
Axim,GH,1541291892,4.87,-2.24,80.39,100,76,6.06
Thinadhoo,MV,1541291893,0.53,72.93,81.78,100,88,4.09
Ukrayinka,UA,1541291894,44.96,34.06,35.39,85,0,2.04
Zaozerne,UA,1541291895,51.37,23.94,51.41,94,80,9.91
Suphan Buri,TH,1541291897,14.47,100.12,71.21,73,0,5.61
Hambantota,LK,1541291752,6.12,81.12,77.1,100,56,4.76
barroualie,,,,,,,,
Lorengau,PG,1541291900,-2.02,147.27,83.81,100,68,8.3
Torbay,CA,1541289600,47.66,-52.73,60.8,93,40,19.46
Panaba,MX,1541291903,21.28,-88.27,78.72,86,92,5.99
Mooresville,US,1541290500,39.61,-86.37,48.92,73,40,6.93
marcona,,,,,,,,
utiroa,,,,,,,,
Waipawa,NZ,1541291907,-39.94,176.59,59.06,58,0,24.14
longlac,,,,,,,,
karkaralinsk,,,,,,,,
Nara,JP,1541289600,34.68,135.8,64.4,67,75,1.12
Puerto del Rosario,ES,1541289600,28.5,-13.86,69.8,68,90,13.87
zolotinka,,,,,,,,
Aswan,EG,1541291856,24.09,32.9,59.24,95,0,2.19
Coolum Beach,AU,1541291916,-26.53,153.09,82.32,62,0,5.84
Udachnyy,RU,1541291917,66.42,112.4,7.71,79,56,4.32
Smoky Lake,CA,1541291918,54.11,-112.47,32.69,91,48,2.86
Airai,TL,1541291698,-8.93,125.41,79.58,66,0,2.26
grajau,,,,,,,,
Rocha,UY,1541291921,-34.48,-54.34,56.76,94,0,4.5
Tilichiki,RU,1541291923,60.47,166.1,15.68,93,64,3.71
Maumere,ID,1541291871,-8.63,122.22,85.34,94,8,3.71
Swan River,CA,1541291925,52.11,-101.27,30.21,74,88,5.99
Namibe,AO,1541291926,-15.19,12.15,70.44,100,20,11.36
San Patricio,PY,1541291927,-26.98,-56.83,70.8,98,92,3.27
Kodiak,US,1541289180,39.95,-94.76,53.96,71,90,9.17
Bay Roberts,CA,1541289600,47.58,-53.28,60.8,93,40,19.46
lolua,,,,,,,,
Port Keats,AU,1541291932,-14.25,129.55,88.58,81,20,6.11
Luxor,EG,1541286000,25.7,32.65,71.6,35,0,2.24
Kipini,KE,1541291934,-2.53,40.53,78.63,93,92,10.13
tatawin,,,,,,,,
Husavik,CA,1541291820,50.56,-96.99,28.01,99,12,2.98
Humboldt,CA,1541291938,52.21,-105.12,33.59,80,88,11.92
Kushiro,JP,1541289600,43.11,144.15,59,44,20,3.36
belushya guba,,,,,,,,
Yushala,RU,1541289600,57.08,64.26,35.6,80,90,8.95
manzil tamim,,,,,,,,
Anadyr,RU,1541289600,64.73,177.51,24.8,85,75,4.47
Abu Kamal,SY,1541291906,34.45,40.92,56.63,95,92,7.11
San Jose,PH,1541291675,15.79,120.99,75.93,96,56,2.71
Sao Filipe,CV,1541291884,14.9,-24.5,78.41,94,12,15.61
Ribeira Grande,PT,1541291673,38.52,-28.7,68.01,99,64,18.52
Kamsack,CA,1541289600,51.56,-101.9,32,80,90,11.41
Langfang,CN,1541289600,39.51,116.7,51.8,76,92,6.71
La Asuncion,EC,1541291953,-1.64,-78.74,47.49,97,88,0.69
Shingu,JP,1541289600,33.72,135.99,62.6,67,40,1.12
Amga,RU,1541291955,60.89,131.98,11.31,56,64,9.64
korla,,,,,,,,
Samarai,PG,1541291958,-10.62,150.67,79.26,100,76,12.1
sentyabrskiy,,,,,,,,
Griffith,AU,1541291960,-34.29,146.06,73.01,45,88,4.99
Faanui,PF,1541291692,-16.48,-151.75,82.01,100,8,6.29
Del Rio,US,1541289360,29.36,-100.9,71.96,71,1,4.7
Spaichingen,DE,1541289000,48.07,8.74,48.2,87,90,1.12
Gobabis,NA,1541289600,-22.45,18.97,77,22,68,3.36
Qena,EG,1541286000,26.16,32.72,71.6,35,0,2.24
Lufilufi,WS,1541291967,-13.87,-171.6,80.25,100,68,22.1
Buala,SB,1541291969,-8.15,159.59,83.09,90,92,10.09
Derzhavinsk,KZ,1541291970,51.1,66.31,28.77,94,80,4.61
Keetmanshoop,NA,1541289600,-26.57,18.15,69.8,37,0,8.05
Baie-Comeau,CA,1541290080,49.22,-68.15,37.4,93,90,18.34
Oranjemund,ZA,1541291973,-28.55,16.43,58.65,95,92,19.19
Coihaique,CL,1541286000,-45.58,-72.07,48.2,87,90,6.93
Vao,EE,1541291976,59.1,26.19,39.48,96,0,7
Nanortalik,GL,1541291882,60.14,-45.24,31.2,96,0,28.66
Chapais,CA,1541289600,49.78,-74.86,30.2,100,90,13.87
barentsburg,,,,,,,,
Sorland,NO,1541291980,67.67,12.69,47.49,100,92,34.54
Iquitos,PE,1541289600,-3.75,-73.25,80.6,78,75,4.7
Longyearbyen,NO,1541289000,78.22,15.63,28.4,68,20,29.97
Balakhninskiy,RU,1541291984,58.01,114.28,8.16,54,76,4.54
Souillac,FR,1541289600,45.6,-0.6,42.8,93,32,2.98
Hami,CN,1541291986,42.84,93.51,20.67,69,0,5.55
tir pol,,,,,,,,
Kwinana,AU,1541289600,-32.25,115.77,62.6,67,68,5.82
Moscow,RU,1541289600,55.75,37.62,46.4,100,90,11.18
Santa Fe,AR,1541291898,-31.62,-60.7,72.87,53,0,7.56
attawapiskat,,,,,,,,
Ormara,PK,1541291993,25.21,64.64,74.58,74,0,17.29
Lethem,GY,1541291853,3.38,-59.8,79.13,88,24,4.54
geresk,,,,,,,,
Dingle,PH,1541291822,11,122.67,81.15,82,36,10.92
Loanda,BR,1541291998,-22.93,-53.14,75.89,87,80,3.38
rungata,,,,,,,,
Pacific Grove,US,1541289300,36.62,-121.92,80.6,56,1,3.36
Antofagasta,CL,1541289600,-23.65,-70.4,60.8,72,75,9.17
Annau,TM,1541289600,37.89,58.52,33.8,64,0,4.7
San Pedro,AR,1541291868,-33.68,-59.66,67.38,60,0,8.52
Shiyan,CN,1541292005,32.65,110.78,44.61,78,0,4.21
Tevaitoa,PF,1541292006,-16.78,-151.5,78.54,100,24,3.04
Mosquera,CO,1541289600,4.71,-74.23,53.6,87,40,3.36
Zeven,DE,1541290800,53.3,9.28,37.4,100,0,4.7
Goedereede,NL,1541291100,51.82,3.98,50,70,56,20.8
Huambo,AO,1541292012,-12.78,15.73,57.75,93,64,2.71
sorkjosen,,,,,,,,
Urusha,RU,1541292014,54.05,122.9,4.2,77,0,2.53
Minusinsk,RU,1541289600,53.7,91.7,30.2,68,0,15.66
Shahgarh,IN,1541292017,24.31,79.12,80.39,41,100,4.27
Gillette,US,1541289180,44.29,-105.5,33.98,78,1,6.06
Las Margaritas,MX,1541292020,16.32,-91.98,64.95,95,76,2.37
Emba,CY,1541291400,34.81,32.42,68,59,20,8.05
Cap Malheureux,MU,1541289600,-19.98,57.61,71.6,83,40,5.82
Bubaque,GW,1541286000,11.28,-15.83,80.6,83,0,4.7
Mount Gambier,AU,1541291818,-37.83,140.78,60.18,78,92,6.73
akyab,,,,,,,,
Bathsheba,BB,1541289600,13.22,-59.52,82.4,74,40,17.22
tabiauea,,,,,,,,
chagda,,,,,,,,
Hawkesbury,CA,1541289600,45.61,-74.6,39.2,78,90,14.99
Moron,VE,1541292032,10.49,-68.2,71.61,92,92,2.86
Dhadar,IN,1541292033,28.33,75.06,52.8,90,0,3.87
vaitupu,,,,,,,,
pietersburg,,,,,,,,
gorno-chuyskiy,,,,,,,,
Ostrovnoy,RU,1541291991,68.05,39.51,32.19,100,88,3.38
Grand Gaube,MU,1541289600,-20.01,57.66,71.6,83,40,5.82
Corner Brook,CA,1541289600,48.95,-57.95,59,100,90,12.75
Sabang,PH,1541292041,13.72,123.58,80.16,97,88,9.13
Codrington,AU,1541291785,-28.95,153.24,84.93,62,0,5.39
Lagoa,PT,1541289600,37.14,-8.45,55.4,93,0,3.36
Wodonga,AU,1541289600,-36.12,146.89,71.6,33,12,4.7
Meadow Lake,CA,1541289600,54.13,-108.44,33.8,86,75,14.99
Sao Joao da Barra,BR,1541286000,-21.64,-41.05,77,83,0,9.17
Verkhnyaya Balkariya,RU,1541289600,43.13,43.46,37.4,93,0,4.47
Lynn Haven,US,1541289480,30.25,-85.65,64.22,83,1,3.36
Suluq,LY,1541288760,31.67,20.25,66.2,55,0,25.28
Oni,GE,1541292052,42.59,43.44,31.34,70,0,2.59
mys shmidta,,,,,,,,
Erenhot,CN,1541292054,43.65,111.97,18.11,78,0,4.38
Vilyuysk,RU,1541291730,63.75,121.63,9.83,68,68,6.51
Tungor,RU,1541292057,53.39,142.95,30.12,84,80,22.21
bolungarvik,,,,,,,,
Benguela,AO,1541292059,-12.58,13.4,74.36,100,48,6.73
Manokwari,ID,1541292060,-0.87,134.08,83.18,100,12,4.54
Beira,ES,1541291400,43.2,-8.36,53.6,93,32,5.82
Biltine,TD,1541292063,14.53,20.93,64.19,57,0,3.76
Kargasok,RU,1541292064,59.06,80.87,16.31,73,68,5.55
Palmer,US,1541289360,61.6,-149.11,33.08,84,1,3.87
Tiksi,RU,1541291753,71.64,128.87,-1.83,70,68,9.57
Gazli,UZ,1541292067,40.13,63.45,23.06,78,0,4.72
Yining,CN,1541292069,29.04,114.56,53.34,86,0,2.3
Treinta y Tres,UY,1541292070,-33.23,-54.39,60.59,82,8,6.85
Edson,CA,1541290020,53.59,-116.44,37.4,100,40,2.24
Adrar,DZ,1541289600,27.87,-0.29,60.8,41,0,5.82
Port Hedland,AU,1541289600,-20.31,118.58,91.4,29,0,8.05
Bethal,ZA,1541292074,-26.46,29.47,48.98,84,0,7.63
Banda Aceh,ID,1541292076,5.56,95.32,75.44,100,48,2.71
Sobolevo,RU,1541292040,54.43,31.9,48.53,99,68,9.13
Qingquan,TW,1541289600,24.58,121.1,77,94,75,11.41
Chumikan,RU,1541292079,54.72,135.31,21.66,94,0,14.83
Fernie,CA,1541289600,49.5,-115.06,46.4,65,90,9.17
Chuy,UY,1541291757,-33.69,-53.46,57.66,95,20,4.27
Bandarbeyla,SO,1541291884,9.49,50.81,79.13,100,92,14.83
Provideniya,RU,1541291595,64.42,-173.23,35.39,100,44,5.73
Salalah,OM,1541289000,17.01,54.1,75.2,60,0,3.36
Quatre Cocos,MU,1541289600,-20.21,57.76,71.6,83,40,5.82
Nabire,ID,1541292087,-3.36,135.5,75.84,86,44,2.19
Wladyslawowo,PL,1541291400,54.79,18.4,33.8,100,0,1.12
Kasongo-Lunda,CD,1541292090,-6.48,16.82,70.71,98,92,0.74
Plettenberg Bay,ZA,1541291822,-34.05,23.37,68.19,77,0,2.53
Mkushi,ZM,1541292092,-13.61,29.4,69.41,62,24,15.39
Misratah,LY,1541292093,32.38,15.09,71.16,92,44,10.02
Eirunepe,BR,1541292094,-6.66,-69.87,82.5,63,48,3.71
Crowley,US,1541290500,30.21,-92.37,66.02,73,1,12.82
Saint-Augustin,FR,1541291400,44.83,-0.61,41,100,56,2.24
Zvecka,RS,1541289600,44.64,20.16,57.2,67,0,9.17
Berlevag,NO,1541291979,70.86,29.09,36.56,100,92,4.72
La Palma,CO,1541292101,5.36,-74.39,68.64,92,48,1.97
Saint Anthony,US,1541289360,43.97,-111.68,46.04,47,90,10.29
Ayan,TR,1541291946,40.67,33.6,26.84,72,0,2.08
Lata,IN,1541291893,30.78,78.62,38.85,100,32,1.81
Cabo San Lucas,MX,1541288760,22.89,-109.91,78.8,61,5,9.17
Avallon,FR,1541292107,47.49,3.91,33.72,84,0,3.04
Yatou,CM,1541289600,3.63,9.81,77,94,40,2.24
Banff,CA,1541291983,51.18,-115.57,35.16,54,68,2.04
Eydhafushi,MV,1541291849,5.1,73.07,82.46,100,12,4.27
Vilhena,BR,1541292113,-12.74,-60.15,76.47,86,0,2.59
Saint-Pierre,FR,1541289600,48.95,4.24,35.6,100,90,5.82
bairiki,,,,,,,,
tsihombe,,,,,,,,
Tema,GH,1541289600,5.66,-0.01,80.6,88,20,5.82
Homa Bay,KE,1541292119,-0.53,34.45,67.47,100,12,4.05
Los Llanos de Aridane,ES,1541291400,28.66,-17.92,71.6,64,44,17.22
raga,,,,,,,,
Gao,ML,1541292123,16.28,-0.04,70.35,35,0,3.76
Omboue,GA,1541292124,-1.57,9.26,79.49,100,92,8.12
Tazovskiy,RU,1541292125,67.47,78.7,14.46,84,32,10.76
Saldanha,PT,1541291667,41.42,-6.55,35.79,84,0,2.71
Dunedin,NZ,1541291716,-45.87,170.5,47.81,71,76,20.2
Troina,IT,1541289000,37.79,14.6,66.2,93,75,8.05
Arroyo,US,1541289240,41.39,-78.88,39.92,69,20,6.93
Pasni,PK,1541292131,25.26,63.48,73.41,91,8,30.4
Port Blair,IN,1541291877,11.67,92.75,83.67,100,0,13.94
Itarema,BR,1541292059,-2.92,-39.92,78.68,81,0,15.17
Nemuro,JP,1541289600,43.32,145.57,57.2,54,0,3.36
Paamiut,GL,1541291885,61.99,-49.67,29.85,100,0,12.26
Symington,GB,1541290800,55.6,-3.6,55.4,82,40,18.34
Sangar,RU,1541292138,63.92,127.47,0.06,74,24,2.98
Guanica,PR,1541289000,17.97,-66.91,75.2,100,75,6.93
Anuppur,IN,1541292140,23.12,81.7,63.11,93,0,2.82
Prigen,ID,1541292142,-7.7,112.63,73.86,68,8,2.48
Amapa,HN,1541289600,15.09,-87.97,82.4,78,40,6.93
Porangatu,BR,1541292144,-13.44,-49.14,77.33,79,76,2.82
Mvuma,ZW,1541292145,-19.28,30.53,58.56,88,24,10.58
Mattru,SL,1541292147,7.62,-11.83,75.21,95,64,1.52
Viedma,AR,1541292148,-40.81,-62.99,64.86,42,24,11.65
Takoradi,GH,1541292149,4.89,-1.75,79.35,100,88,4.05
Scottsboro,US,1541291700,34.67,-86.03,56.12,87,1,3.36
Zalantun,CN,1541292151,48,122.72,21.21,41,0,5.55
Mwinilunga,ZM,1541292153,-11.73,24.43,65.31,92,80,3.98
Salinopolis,BR,1541292154,-0.61,-47.36,82.41,94,20,13.56
barawe,,,,,,,,
Ipueiras,BR,1541292157,-6.66,-37.55,85.29,42,32,10.09
Monrovia,LR,1541289600,6.33,-10.8,77,94,75,3.36
Shenzhen,CN,1541291400,22.54,114.05,73.4,83,20,10.29
